,Grant Amount,Award Date,Parent Company,Parent Headquarters State,Ownership Structure,CEO Pay,Award Type
0,685100000,20200423,JetBlue Airways,New York,publicly traded,"$3,955,523",grant
1,277653312,20200508,Northwell Health,New York,non-profit,$0,grant
2,203180447,20200508,New York University,New York,non-profit,$0,grant
3,156708592,20200508,Montefiore Medical Center,New York,non-profit,$0,grant
4,152747325,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
5,143251512,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
6,140754861,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
7,137531543,20200508,Northwell Health,New York,non-profit,$0,grant
8,131500615,20200508,Maimonides Medical Center,New York,non-profit,$0,grant
9,118647057,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
10,111346403,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
11,108038388,20200508,New York University,New York,non-profit,$0,grant
12,92120455,20200506,New York University,New York,non-profit,$0,grant
13,91535710,20200508,Bronxcare Health System,New York,privately held,$0,grant
14,91357434,20200508,Northwell Health,New York,non-profit,$0,grant
15,89200836,20200508,Montefiore Medical Center,New York,non-profit,$0,grant
16,86952151,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
17,86705276,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
18,83300041,20200508,Stony Brook University,New York,non-profit,$0,grant
19,78931188,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
20,76926186,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
21,76138988,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
22,75862418,20200508,Jamaica Hospital Medical Center,New York,non-profit,$0,grant
23,75340417,20200508,NuHealth - Nassau University Medical Center,New York,non-profit,$0,grant
24,75309433,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
25,72958948,20200508,Montefiore Medical Center,New York,non-profit,$0,grant
26,68397632,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
27,66453550,20200508,Northwell Health,New York,non-profit,$0,grant
28,66414764,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
29,66309962,20200508,Brookdale Hospital Medical Center,New York,non-profit,$0,grant
30,66231250,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
31,65283067,20200508,White Plains Hospital,New York,non-profit,$0,grant
32,64596069,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
33,64048724,20200506,Memorial Sloan Kettering Cancer Center,New York,non-profit,$0,grant
34,63732310,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
35,60843431,20200508,Southside Hospital,New York,non-profit,$0,grant
36,59878471,20200508,Wyckoff Heights Medical Center,New York,non-profit,$0,grant
37,54809930,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
38,52864813,20200508,Good Samaritan Hospital (NY),New York,non-profit,$0,grant
39,51718227,20200508,Richmond University Medical Center,New York,non-profit,$0,grant
40,49115384,20200508,Westchester Medical Center,New York,non-profit,$0,grant
41,48482885,20200508,Flushing Hospital & Medical Center,New York,non-profit,$0,grant
42,47024442,20200508,University Hospital of Brooklyn at SUNY Downstate Medical Center,New York,non-profit,$0,grant
43,46958400,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
44,46953443,20200508,St. Barnabas Hospital,New York,non-profit,$0,grant
45,46720663,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
46,45537948,20200506,New York City Health And Hospitals Corporation,New York,non-profit,$0,grant
47,45212167,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
48,44828287,20200508,Montefiore Medical Center,New York,non-profit,$0,grant
