"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal, State, and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Average Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis"
"1000 Executive Parkway","1000 Executive Parkway","20200506","grant","$556,206","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"1046 North Point","1046 North Point","20200506","grant","$509,767","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"150 Riverside Op Llc","150 Riverside Op Llc","20200506","grant","$1,693,362","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"21st Century Oncology","21st Century Oncology","20200506","grant","$12,097,933","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","80450000","0","2300000","","$0","$0","0"
"22nd Century Group, Inc.","22nd Century Group, Inc.","20200501","loan","$0","$1,200,000","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1347858/000110465920055526/tm2018390d1_8k.htm",""," ","","","publicly traded","XXII","New York","USA","tobacco","low-nicotine tobacco products","67","0","0","","0","0","0","0","","$1,007,291","$0","0"
"24 On Physicians Pc","24 On Physicians Pc","20200506","grant","$811,732","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"365 Hospice","365 Hospice","20200506","grant","$543,051","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"467 Cooper St Operating Company Llc","467 Cooper St Operating Company Llc","20200506","grant","$765,305","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"499 Pine Brook Operating Llc","499 Pine Brook Operating Llc","20200506","grant","$793,571","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"521 Pine Brook Operating Llc","521 Pine Brook Operating Llc","20200506","grant","$677,309","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"533 South Fairfax Avenue Inc","533 South Fairfax Avenue Inc","20200506","grant","$509,854","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"A*med Health Inc","A*med Health Inc","20200506","grant","$1,093,309","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"A.B.R.H. Inc.","A.B.R.H. Inc.","20200506","grant","$627,333","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"A.M. Castle & Co.","A.M. Castle & Co.","20200428","loan","$0","$10,000,000","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/18172/000001817220000032/ctam-8xkxppptermloan.htm",""," ","","","publicly traded","CTAM","Illinois","USA","wholesalers","distributor of specialty metals","873","0","0","","0","0","134475","775000","","$1,534,610","$0","0"
"Aaa Ambulance Service","Aaa Ambulance Service","20200506","grant","$524,460","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Mississippi","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Abbeville County Memorial Hospital","Abbeville County Memorial Hospital","20200506","grant","$804,436","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Abbeville General Hospital","Abbeville General Hospital","20200506","grant","$807,889","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Louisiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Abcm Corporation","Abcm Corporation","20200506","grant","$2,428,790","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Iowa","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"ABCO Energy, Inc.","ABCO Energy, Inc.","20200503","loan","$0","$124,099","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1300938/000118518520000562/abcoenergy20200505_8k.htm",""," ","","","publicly traded","ABCE","Arizona","USA","miscellaneous energy products and systems","photovoltaic systems","25","0","0","","0","0","0","0","","$54,290","$0","0"
